City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
538,Mingshui,CN,67.46,broken clouds,36.7167,117.5,
539,Yambio,SS,69.08,broken clouds,4.5721,28.3955,
542,Taltal,CL,61.11,clear sky,-25.4,-70.4833,
543,Liwale,TZ,67.77,scattered clouds,-9.7667,37.9333,
561,Espinosa,BR,69.71,broken clouds,-14.9261,-42.8192,
565,Uige,AO,68.2,overcast clouds,-7.6087,15.0613,
566,Sao Joao Da Barra,BR,69.51,clear sky,-21.6403,-41.0511,
570,Dekar,BW,64.4,scattered clouds,-21.5333,21.9333,
574,Saurimo,AO,64.44,overcast clouds,-9.6608,20.3916,
575,Uitenhage,ZA,62.64,overcast clouds,-33.7576,25.3971,
578,Mokobeng,BW,62.62,overcast clouds,-22.9965,27.6678,
579,Whakatane,NZ,66.78,overcast clouds,-37.9585,176.9854,
585,Kajiado,KE,60.84,light rain,-1.8524,36.7768,
590,Maracaju,BR,65.66,broken clouds,-21.6144,-55.1683,
593,San Ramon De La Nueva Oran,AR,64.35,clear sky,-23.1322,-64.326,
596,Muroto,JP,63.55,overcast clouds,33.2833,134.15,
611,Shingu,JP,66.49,overcast clouds,33.7333,135.9833,
614,Maputo,MZ,64.08,broken clouds,-25.9653,32.5892,
622,Porto Santo,PT,61.18,scattered clouds,33.072,-16.3415,
624,Aguilas,ES,63.28,overcast clouds,37.4063,-1.5829,
628,Half Moon Bay,US,62.91,clear sky,37.4636,-122.4286,
630,Shache,CN,60.42,clear sky,38.4167,77.2406,
653,Bukama,CD,67.66,clear sky,-9.2,25.85,
654,Nyimba,ZM,64.81,clear sky,-14.5566,30.8149,
659,Kefalos,GR,61.02,scattered clouds,36.7453,26.9589,
665,Lakes Entrance,AU,64.17,light rain,-37.8811,147.981,
668,Bahir Dar,ET,65.52,light rain,11.5936,37.3908,
671,Dakar,SN,67.08,clear sky,14.6937,-17.4441,
683,Richards Bay,ZA,63.21,light rain,-28.783,32.0377,
686,Joshimath,IN,65.59,clear sky,30.5667,79.5667,
694,Chicama,PE,61.34,few clouds,-7.8447,-79.1469,
696,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,
699,Kalabo,ZM,64.69,light rain,-14.97,22.6814,
701,Kaoma,ZM,61.59,scattered clouds,-14.7833,24.8,
